blackout,city,city_code,date,day,day_importance,day_of_year,frankfurt_shutdown,holiday,holiday_name,id,is_leap_year,mini_shutdown,month,mov_change,order_mean,orders,part_of_year,precipitation,precipitation_lamda_0,precipitation_levels,quarter,school_holidays,shops_closed,shutdown,snow,snow_lamda_m2,snow_levels,user_activity_1,user_activity_1_levels,user_activity_2,warehouse,warehouse_code,warehouse_limited,weekday,weekend,winter_school_holidays,year
0,Prague,4,2020-12-05,5,0.01,340,0,0,,Prague_1_2020-12-05,1,0,12,0.0,5528.0,6895,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1722,4,32575,Prague_1,4,0,6,1,0,2020
0,Prague,4,2020-12-06,6,0.01,341,0,0,,Prague_1_2020-12-06,1,0,12,0.0,5528.0,6584,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1688,4,32507,Prague_1,4,0,7,1,0,2020
0,Prague,4,2020-12-07,7,0.01,342,0,0,,Prague_1_2020-12-07,1,0,12,0.0,5528.0,7030,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1696,4,32552,Prague_1,4,0,1,0,0,2020
0,Prague,4,2020-12-08,8,0.01,343,0,0,,Prague_1_2020-12-08,1,0,12,0.0,5528.0,6550,1,0.8,-0.22189433191377778,-2,4,0,0,0,0.0,-499999.49999999977,-4,1681,4,32423,Prague_1,4,0,2,0,0,2020
0,Prague,4,2020-12-09,9,0.01,344,0,0,,Prague_1_2020-12-09,1,0,12,0.0,5528.0,6910,1,0.5,-0.6911491778972723,-2,4,0,0,0,0.0,-499999.49999999977,-4,1704,4,32410,Prague_1,4,0,3,0,0,2020
0,Prague,4,2020-12-10,10,0.01,345,0,0,,Prague_1_2020-12-10,1,0,12,0.0,5528.0,7228,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1740,4,32432,Prague_1,4,0,4,0,0,2020
0,Prague,4,2020-12-11,11,0.01,346,0,0,,Prague_1_2020-12-11,1,0,12,0.0,5528.0,7790,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1730,4,32471,Prague_1,4,0,5,1,0,2020
0,Prague,4,2020-12-12,12,0.01,347,0,0,,Prague_1_2020-12-12,1,0,12,0.0,5528.0,7165,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1708,4,32476,Prague_1,4,0,6,1,0,2020
0,Prague,4,2020-12-13,13,0.01,348,0,0,,Prague_1_2020-12-13,1,0,12,0.0,5528.0,6844,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1717,4,32458,Prague_1,4,0,7,1,0,2020
0,Prague,4,2020-12-14,14,0.01,349,0,0,,Prague_1_2020-12-14,1,0,12,0.0,5528.0,7010,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1723,4,32505,Prague_1,4,0,1,0,0,2020
0,Prague,4,2020-12-15,15,0.01,350,0,0,,Prague_1_2020-12-15,1,0,12,0.0,5528.0,7243,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1756,4,32401,Prague_1,4,0,2,0,0,2020
0,Prague,4,2020-12-16,16,0.01,351,0,0,,Prague_1_2020-12-16,1,0,12,0.0,5528.0,7429,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1758,4,32406,Prague_1,4,0,3,0,0,2020
0,Prague,4,2020-12-17,17,0.01,352,0,0,,Prague_1_2020-12-17,1,0,12,0.0,5528.0,7538,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1806,4,32456,Prague_1,4,0,4,0,0,2020
0,Prague,4,2020-12-18,18,0.01,353,0,0,,Prague_1_2020-12-18,1,0,12,0.0,5528.0,8072,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1778,4,32470,Prague_1,4,0,5,1,0,2020
0,Prague,4,2020-12-19,19,0.01,354,0,0,,Prague_1_2020-12-19,1,0,12,0.0,5528.0,7868,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1792,4,32452,Prague_1,4,0,6,1,0,2020
0,Prague,4,2020-12-20,20,0.01,355,0,0,,Prague_1_2020-12-20,1,0,12,0.0,5528.0,8128,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1816,4,32417,Prague_1,4,0,7,1,0,2020
0,Prague,4,2020-12-21,21,0.01,356,0,0,,Prague_1_2020-12-21,1,0,12,0.0,5528.0,8605,1,0.9,-0.10425002137379911,-2,4,0,0,0,0.0,-499999.49999999977,-4,1862,4,32534,Prague_1,4,0,1,0,0,2020
0,Prague,4,2020-12-22,22,0.01,357,0,0,,Prague_1_2020-12-22,1,0,12,0.0,5528.0,8875,1,3.1,1.1317246401183119,-2,4,0,0,0,0.0,-499999.49999999977,-4,1807,4,32530,Prague_1,4,0,2,0,0,2020
0,Prague,4,2020-12-23,23,0.01,358,0,0,,Prague_1_2020-12-23,1,0,12,0.0,5528.0,8968,1,2.8,1.0299764962779714,-2,4,0,0,0,0.0,-499999.49999999977,-4,1816,4,32511,Prague_1,4,0,3,0,0,2020
0,Prague,4,2020-12-24,24,-1.02,359,0,1,Christmas Eve,Prague_1_2020-12-24,1,0,12,0.0,4105.0,4327,1,0.2,-1.6044503709230613,-2,4,0,0,0,0.0,-499999.49999999977,-4,1652,4,32332,Prague_1,4,0,4,0,0,2020
0,Prague,4,2020-12-26,26,0.96,361,0,1,2nd Christmas Day,Prague_1_2020-12-26,1,0,12,0.0,6836.0,7784,1,0.0,-6.907755278982137,-3,4,0,1,0,0.0,-499999.49999999977,-4,1867,4,31922,Prague_1,4,0,6,1,0,2020
0,Prague,4,2020-12-27,27,0.01,362,0,0,,Prague_1_2020-12-27,1,0,12,0.0,5528.0,6702,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1734,4,31816,Prague_1,4,0,7,1,0,2020
0,Prague,4,2020-12-28,28,0.01,363,0,0,,Prague_1_2020-12-28,1,0,12,0.0,5528.0,7210,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1770,4,31813,Prague_1,4,0,1,0,0,2020
0,Prague,4,2020-12-29,29,0.01,364,0,0,,Prague_1_2020-12-29,1,0,12,0.0,5528.0,7597,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1735,4,31688,Prague_1,4,0,2,0,0,2020
0,Prague,4,2020-12-30,30,0.01,365,0,0,,Prague_1_2020-12-30,1,0,12,0.0,5528.0,7618,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1744,4,31628,Prague_1,4,0,3,0,0,2020
0,Prague,4,2020-12-31,31,0.01,366,0,0,,Prague_1_2020-12-31,1,0,12,0.0,5528.0,6238,1,0.0,-6.907755278982137,-3,4,0,0,0,0.0,-499999.49999999977,-4,1668,4,31566,Prague_1,4,0,4,0,0,2020
0,Prague,4,2021-01-01,1,-1.32,1,0,1,New Years Day,Prague_1_2021-01-01,0,0,1,0.0,3693.0,3754,0,0.0,-6.907755278982137,-3,1,0,1,0,0.0,-499999.49999999977,-4,1618,4,31352,Prague_1,4,0,5,1,0,2021
0,Prague,4,2021-01-02,2,0.01,2,0,0,,Prague_1_2021-01-02,0,0,1,0.0,5528.0,6553,0,0.0,-6.907755278982137,-3,1,0,0,0,0.0,-499999.49999999977,-4,1706,4,31309,Prague_1,4,0,6,1,0,2021
0,Prague,4,2021-01-03,3,0.01,3,0,0,,Prague_1_2021-01-03,0,0,1,0.0,5528.0,6841,0,1.0,0.0009995003330834232,-2,1,0,0,0,0.0,-499999.49999999977,-4,1675,4,31303,Prague_1,4,0,7,1,0,2021
0,Prague,4,2021-01-04,4,0.01,4,0,0,,Prague_1_2021-01-04,0,0,1,0.0,5528.0,7984,0,0.3,-1.2006450142332614,-2,1,0,0,0,0.0,-499999.49999999977,-4,1724,4,31399,Prague_1,4,0,1,0,0,2021
0,Prague,4,2021-01-05,5,0.01,5,0,0,,Prague_1_2021-01-05,0,0,1,0.0,5528.0,7466,0,5.6,1.7229451532276951,-1,1,0,0,0,1.0,0.0009985019975028864,-2,1759,4,31528,Prague_1,4,0,2,0,0,2021
0,Prague,4,2021-01-06,6,0.01,6,0,0,,Prague_1_2021-01-06,0,0,1,0.0,5528.0,7422,0,0.5,-0.6911491778972723,-2,1,0,0,0,2.0,0.375124906312461,-2,1756,4,31640,Prague_1,4,0,3,0,0,2021
0,Prague,4,2021-01-07,7,0.01,7,0,0,,Prague_1_2021-01-07,0,0,1,0.0,5528.0,7669,0,9.4,2.240816066596414,-1,1,0,0,0,8.0,0.49218945275885007,-2,1796,4,31774,Prague_1,4,0,4,0,0,2021
0,Prague,4,2021-01-08,8,0.01,8,0,0,,Prague_1_2021-01-08,0,0,1,0.0,5528.0,8083,0,0.0,-6.907755278982137,-3,1,0,0,0,6.0,0.4861157395835905,-2,1748,4,31844,Prague_1,4,0,5,1,0,2021
0,Prague,4,2021-01-09,9,0.01,9,0,0,,Prague_1_2021-01-09,0,0,1,0.0,5528.0,7555,0,0.3,-1.2006450142332614,-2,1,0,0,0,4.0,0.4687656191425775,-2,1766,4,31908,Prague_1,4,0,6,1,0,2021
0,Prague,4,2021-01-10,10,0.01,10,0,0,,Prague_1_2021-01-10,0,0,1,0.0,5528.0,7435,0,0.8,-0.22189433191377778,-2,1,0,0,0,4.0,0.4687656191425775,-2,1774,4,31987,Prague_1,4,0,7,1,0,2021
0,Prague,4,2021-01-11,11,0.01,11,0,0,,Prague_1_2021-01-11,0,0,1,0.0,5528.0,7766,0,0.0,-6.907755278982137,-3,1,0,0,0,4.0,0.4687656191425775,-2,1742,4,32096,Prague_1,4,0,1,0,0,2021
0,Prague,4,2021-01-12,12,0.01,12,0,0,,Prague_1_2021-01-12,0,0,1,0.0,5528.0,7854,0,39.9,3.686401386238396,-1,1,0,0,0,4.0,0.4687656191425775,-2,1765,4,32256,Prague_1,4,0,2,0,0,2021
0,Prague,4,2021-01-13,13,0.01,13,0,0,,Prague_1_2021-01-13,0,0,1,0.0,5528.0,7728,0,1.5,0.40613155265132483,-2,1,0,0,0,4.0,0.4687656191425775,-2,1752,4,32370,Prague_1,4,0,3,0,0,2021
0,Prague,4,2021-01-14,14,0.01,14,0,0,,Prague_1_2021-01-14,0,0,1,0.0,5528.0,7873,0,1.3,0.2631331995303682,-2,1,0,0,0,7.0,0.48979883319462125,-2,1794,4,32432,Prague_1,4,0,4,0,0,2021
0,Prague,4,2021-01-15,15,0.01,15,0,0,,Prague_1_2021-01-15,0,0,1,0.0,5528.0,8191,0,0.0,-6.907755278982137,-3,1,0,0,0,10.0,0.49500099985002,-2,1747,4,32437,Prague_1,4,0,5,1,0,2021
0,Prague,4,2021-01-16,16,0.01,16,0,0,,Prague_1_2021-01-16,0,0,1,0.0,5528.0,7660,0,1.0,0.0009995003330834232,-2,1,0,0,0,14.0,0.4974493439842811,-2,1788,4,32439,Prague_1,4,0,6,1,0,2021
0,Prague,4,2021-01-17,17,0.01,17,0,0,,Prague_1_2021-01-17,0,0,1,0.0,5528.0,7352,0,80.0,4.3820391345957574,-1,1,0,0,0,10.0,0.49500099985002,-2,1705,4,32378,Prague_1,4,0,7,1,0,2021
0,Prague,4,2021-01-18,18,0.01,18,0,0,,Prague_1_2021-01-18,0,0,1,0.0,5528.0,8212,0,0.3,-1.2006450142332614,-2,1,0,0,0,8.0,0.49218945275885007,-2,1795,4,32391,Prague_1,4,0,1,0,0,2021
0,Prague,4,2021-01-19,19,0.01,19,0,0,,Prague_1_2021-01-19,0,0,1,0.0,5528.0,7993,0,0.3,-1.2006450142332614,-2,1,0,0,0,7.0,0.48979883319462125,-2,1734,4,32410,Prague_1,4,0,2,0,0,2021
0,Prague,4,2021-01-20,20,0.01,20,0,0,,Prague_1_2021-01-20,0,0,1,0.0,5528.0,7669,0,0.5,-0.6911491778972723,-2,1,0,0,0,4.0,0.4687656191425775,-2,1729,4,32282,Prague_1,4,0,3,0,0,2021
0,Prague,4,2021-01-21,21,0.01,21,0,0,,Prague_1_2021-01-21,0,0,1,0.0,5528.0,7903,0,0.0,-6.907755278982137,-3,1,0,0,0,1.0,0.0009985019975028864,-2,1730,4,32140,Prague_1,4,0,4,0,0,2021
0,Prague,4,2021-01-22,22,0.01,22,0,0,,Prague_1_2021-01-22,0,0,1,0.0,5528.0,8491,0,0.0,-6.907755278982137,-3,1,0,0,0,0.0,-499999.49999999977,-4,1741,4,31998,Prague_1,4,0,5,1,0,2021
0,Prague,4,2021-01-23,23,0.01,23,0,0,,Prague_1_2021-01-23,0,0,1,0.0,5528.0,7846,0,0.0,-6.907755278982137,-3,1,0,0,0,0.0,-499999.49999999977,-4,1729,4,32167,Prague_1,4,0,6,1,0,2021
0,Prague,4,2021-01-24,24,0.01,24,0,0,,Prague_1_2021-01-24,0,0,1,0.0,5528.0,7346,0,2.5,0.9166906518954819,-2,1,0,0,0,1.0,0.0009985019975028864,-2,1698,4,32522,Prague_1,4,0,7,1,0,2021
0,Prague,4,2021-01-25,25,0.01,25,0,0,,Prague_1_2021-01-25,0,0,1,0.0,5528.0,7776,0,1.0,0.0009995003330834232,-2,1,0,0,0,2.0,0.375124906312461,-2,1692,4,32411,Prague_1,4,0,1,0,0,2021
0,Prague,4,2021-01-26,26,0.01,26,0,0,,Prague_1_2021-01-26,0,0,1,0.0,5528.0,7735,0,0.0,-6.907755278982137,-3,1,0,0,0,3.0,0.44448146297118996,-2,1740,4,32511,Prague_1,4,0,2,0,0,2021
0,Prague,4,2021-01-27,27,0.01,27,0,0,,Prague_1_2021-01-27,0,0,1,0.0,5528.0,7561,0,1.8,0.588342066193819,-2,1,0,0,0,4.0,0.4687656191425775,-2,1705,4,32500,Prague_1,4,0,3,0,0,2021
0,Prague,4,2021-01-28,28,0.01,28,0,0,,Prague_1_2021-01-28,0,0,1,0.0,5528.0,7855,0,0.3,-1.2006450142332614,-2,1,0,0,0,2.0,0.375124906312461,-2,1718,4,32493,Prague_1,4,0,4,0,0,2021
0,Prague,4,2021-01-29,29,0.01,29,0,0,,Prague_1_2021-01-29,0,0,1,0.0,5528.0,8269,0,8.6,2.1518784755693425,-1,1,0,0,0,0.0,-499999.49999999977,-4,1714,4,32510,Prague_1,4,0,5,1,0,2021
0,Prague,4,2021-01-30,30,0.01,30,0,0,,Prague_1_2021-01-30,0,0,1,0.0,5528.0,8113,0,8.4,2.12835074638271,-1,1,0,0,0,1.0,0.0009985019975028864,-2,1756,4,32631,Prague_1,4,0,6,1,0,2021
0,Prague,4,2021-01-31,31,0.01,31,0,0,,Prague_1_2021-01-31,0,0,1,0.0,5528.0,7134,0,1.0,0.0009995003330834232,-2,1,0,0,0,1.0,0.0009985019975028864,-2,1694,4,32794,Prague_1,4,0,7,1,0,2021
0,Prague,4,2021-02-01,1,0.01,32,0,0,,Prague_1_2021-02-01,0,0,2,0.0,5528.0,7531,0,0.0,-6.907755278982137,-3,1,0,0,0,0.0,-499999.49999999977,-4,1682,4,32881,Prague_1,4,0,1,0,0,2021
0,Prague,4,2021-02-02,2,0.01,33,0,0,,Prague_1_2021-02-02,0,0,2,0.0,5528.0,7676,0,0.0,-6.907755278982137,-3,1,0,0,0,0.0,-499999.49999999977,-4,1741,4,32968,Prague_1,4,0,2,0,0,2021
0,Prague,4,2021-02-03,3,0.01,34,0,0,,Prague_1_2021-02-03,0,0,2,0.0,5528.0,7813,0,0.5,-0.6911491778972723,-2,1,0,0,0,0.0,-499999.49999999977,-4,1760,4,33016,Prague_1,4,0,3,0,0,2021
0,Prague,4,2021-02-04,4,0.01,35,0,0,,Prague_1_2021-02-04,0,0,2,0.0,5528.0,7876,0,6.1,1.8084526921697155,-1,1,0,0,0,0.0,-499999.49999999977,-4,1741,4,33080,Prague_1,4,0,4,0,0,2021
0,Prague,4,2021-02-05,5,0.01,36,0,0,,Prague_1_2021-02-05,0,0,2,0.0,5528.0,8438,0,0.0,-6.907755278982137,-3,1,0,0,0,0.0,-499999.49999999977,-4,1726,4,33119,Prague_1,4,0,5,1,0,2021
