warehouse,date,orders,holiday_name,holiday,shutdown,mini_shutdown,shops_closed,winter_school_holidays,school_holidays,blackout,mov_change,frankfurt_shutdown,precipitation,snow,user_activity_1,user_activity_2,id
Prague_1,12/5/2020,6895,,0,0,0,0,0,0,0,0,0,0,0,1722,32575,Prague_1_2020-12-05
Prague_1,12/6/2020,6584,,0,0,0,0,0,0,0,0,0,0,0,1688,32507,Prague_1_2020-12-06
Prague_1,12/7/2020,7030,,0,0,0,0,0,0,0,0,0,0,0,1696,32552,Prague_1_2020-12-07
Prague_1,12/8/2020,6550,,0,0,0,0,0,0,0,0,0,0.8,0,1681,32423,Prague_1_2020-12-08
Prague_1,12/9/2020,6910,,0,0,0,0,0,0,0,0,0,0.5,0,1704,32410,Prague_1_2020-12-09
Prague_1,12/10/2020,7228,,0,0,0,0,0,0,0,0,0,0,0,1740,32432,Prague_1_2020-12-10
Prague_1,12/11/2020,7790,,0,0,0,0,0,0,0,0,0,0,0,1730,32471,Prague_1_2020-12-11
Prague_1,12/12/2020,7165,,0,0,0,0,0,0,0,0,0,0,0,1708,32476,Prague_1_2020-12-12
Prague_1,12/13/2020,6844,,0,0,0,0,0,0,0,0,0,0,0,1717,32458,Prague_1_2020-12-13
Prague_1,12/14/2020,7010,,0,0,0,0,0,0,0,0,0,0,0,1723,32505,Prague_1_2020-12-14
Prague_1,12/15/2020,7243,,0,0,0,0,0,0,0,0,0,0,0,1756,32401,Prague_1_2020-12-15
Prague_1,12/16/2020,7429,,0,0,0,0,0,0,0,0,0,0,0,1758,32406,Prague_1_2020-12-16
Prague_1,12/17/2020,7538,,0,0,0,0,0,0,0,0,0,0,0,1806,32456,Prague_1_2020-12-17
Prague_1,12/18/2020,8072,,0,0,0,0,0,0,0,0,0,0,0,1778,32470,Prague_1_2020-12-18
Prague_1,12/19/2020,7868,,0,0,0,0,0,0,0,0,0,0,0,1792,32452,Prague_1_2020-12-19
Prague_1,12/20/2020,8128,,0,0,0,0,0,0,0,0,0,0,0,1816,32417,Prague_1_2020-12-20
Prague_1,12/21/2020,8605,,0,0,0,0,0,0,0,0,0,0.9,0,1862,32534,Prague_1_2020-12-21
Prague_1,12/22/2020,8875,,0,0,0,0,0,0,0,0,0,3.1,0,1807,32530,Prague_1_2020-12-22
Prague_1,12/23/2020,8968,,0,0,0,0,0,0,0,0,0,2.8,0,1816,32511,Prague_1_2020-12-23
Prague_1,12/24/2020,4327,Christmas Eve,1,0,0,0,0,0,0,0,0,0.2,0,1652,32332,Prague_1_2020-12-24
Prague_1,12/26/2020,7784,2nd Christmas Day,1,0,0,1,0,0,0,0,0,0,0,1867,31922,Prague_1_2020-12-26
Prague_1,12/27/2020,6702,,0,0,0,0,0,0,0,0,0,0,0,1734,31816,Prague_1_2020-12-27
Prague_1,12/28/2020,7210,,0,0,0,0,0,0,0,0,0,0,0,1770,31813,Prague_1_2020-12-28
Prague_1,12/29/2020,7597,,0,0,0,0,0,0,0,0,0,0,0,1735,31688,Prague_1_2020-12-29
Prague_1,12/30/2020,7618,,0,0,0,0,0,0,0,0,0,0,0,1744,31628,Prague_1_2020-12-30
Prague_1,12/31/2020,6238,,0,0,0,0,0,0,0,0,0,0,0,1668,31566,Prague_1_2020-12-31
Prague_1,1/1/2021,3754,New Years Day,1,0,0,1,0,0,0,0,0,0,0,1618,31352,Prague_1_2021-01-01
Prague_1,1/2/2021,6553,,0,0,0,0,0,0,0,0,0,0,0,1706,31309,Prague_1_2021-01-02
Prague_1,1/3/2021,6841,,0,0,0,0,0,0,0,0,0,1,0,1675,31303,Prague_1_2021-01-03
Prague_1,1/4/2021,7984,,0,0,0,0,0,0,0,0,0,0.3,0,1724,31399,Prague_1_2021-01-04
Prague_1,1/5/2021,7466,,0,0,0,0,0,0,0,0,0,5.6,1,1759,31528,Prague_1_2021-01-05
Prague_1,1/6/2021,7422,,0,0,0,0,0,0,0,0,0,0.5,2,1756,31640,Prague_1_2021-01-06
Prague_1,1/7/2021,7669,,0,0,0,0,0,0,0,0,0,9.4,8,1796,31774,Prague_1_2021-01-07
Prague_1,1/8/2021,8083,,0,0,0,0,0,0,0,0,0,0,6,1748,31844,Prague_1_2021-01-08
Prague_1,1/9/2021,7555,,0,0,0,0,0,0,0,0,0,0.3,4,1766,31908,Prague_1_2021-01-09
Prague_1,1/10/2021,7435,,0,0,0,0,0,0,0,0,0,0.8,4,1774,31987,Prague_1_2021-01-10
